species	vine	year	from_tip	from_base	count	base_vine	tip_vine	vine_year	px2_cm2	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21
Ampelopsis_brevipedunculata	588538	2017	3	7	9	7x588538	3x588538	588538x2017	80277.77778	2103	2074	2073	2040	2091	2000	2121	2000	1995	2060	2063	2072	2029	2034	1847	1848	1885	1882	1883	1846	2039	1636	2039	1668	2075	1654	1672	2194	1504	1906	1704	1886	1468	1662	1448	1434	1944	1758	1704	1274	1668	313
Ampelopsis_brevipedunculata	588538	2013	11	2	12	2x588538	11x588538	588538x2013	13948.005	968.667	2529.667	957.667	2515	934.333	2516	911.333	2535	1090	2502.5	1080.875	2507.375	1082.125	2497.875	1064.25	2301.5	1061.625	2310.75	1049.625	2301	783.5	2335.167	791.333	2342.333	777.333	2347.167	1360.333	2555.333	1370.333	2320	1240.333	2277.333	1281.667	1945.333	1024.333	1730.667	916	2311	865.333	2034.333	354	2018.5
Ampelopsis_brevipedunculata	588538	2015	6	4	9	4x588538	6x588538	588538x2015	80353.17	3542.667	2996	3498.5	2974.5	3550	2955	3602.5	2953.5	3265	3074.667	3290.667	3074.333	3277.667	3059.333	3160.75	2722	3183.667	2742.667	3186	2718.667	3441.333	2167.333	3441.667	2193	3462	2178.333	2695.667	3480	2445	2970.5	2566	2832	2284.5	2489.5	2308.333	1366.333	3218.5	2395	3058	1521.667	3379.667	927
Ampelopsis_brevipedunculata	588538	2017	8	2	9	2x588538	8x588538	588538x2017	80277.77778	6498	10600	6447	10567	6513	10507	6558	10507	6201	10674	6235	10668	6217	10646	6015	10290	6033	10306	6047	10276	6469	9915	6471	9943	6507	9923	5857	11335	5263	10765	5785	10549	5203	10069	5323	9649	6277	10069	5755	9409	6151	8625
Ampelopsis_brevipedunculata	588538	2017	9	1	9	1x588538	9x588538	588538x2017	80277.77778	2486	10620	2450	10570	2494	10518	2540	10502	2341	10666	2385	10650	2361	10630	2095	10324	2122	10345	2128	10309	2371	9967	2377	10003	2416	9976	1949	11197	1361	10543	1697	10381	1253	10045	1439	9553	2165	10105	1997	9445	2393	8935
Ampelopsis_brevipedunculata	588538	2013	10	3	12	3x588538	10x588538	588538x2013	13948.005	1087.667	1075.333	1072	1068.667	1072.333	1046.667	1077.667	1018.333	1076.75	1194.25	1082.125	1182.25	1069.25	1184.75	802.667	1197.5	815	1194.667	805.833	1181.667	753.667	878	763	885	768.667	866.667	1131.667	1600.333	777	1647	827.667	1369.667	420	1480	68	1254.667	789	1049	317	825	345	639
Ampelopsis_brevipedunculata	588538	2015	9	1	9	1x588538	9x588538	588538x2015	80353.17	3025.333	10908	3036.667	10884	2979.667	10904	2929.667	10916	3143	10878.667	3127	10886.25	3130	10871	3316	10597	3305.75	10611	3298.5	10594.75	2926.667	10443.333	2928.333	10463.333	2905.667	10456	3360	11114.5	3601.333	10884.333	3399.5	10715	3726.667	10378	3706.333	10173	3091.5	10592	3235.333	10135.667	2986.333	9859.667
Ampelopsis_brevipedunculata	588538	2015	7	3	9	3x588538	7x588538	588538x2015	80353.17	3385	5703.333	3408.333	5666.667	3370.5	5634.5	3309.667	5629.333	3699	5753	3666.667	5754	3682.833	5738	3772	5287.75	3755.75	5315.5	3740.25	5290	3357.667	4959.333	3358.667	4977.333	3327.667	4971.667	4228	6080.5	4419.5	5554	4165.333	5428.667	4529	4985.667	4206.333	4495.667	3595	5063.667	3603	4341	3475	4216
Ampelopsis_brevipedunculata	588538	2016	3	5	7	5x588538	3x588538	588538x2016	80960.96293	2923	6280	2883	6312	2879	6238	2873	6188	2905	6386	2919	6354	2873	6376	2629	6578	2661	6560	2631	6546	2363	6234	2401	6244	2393	6201	3227	6881	2819	7085	2693	6797	2471	7103	1847	7187	2501	6449	1685	6521	1073	5933
Ampelopsis_brevipedunculata	588538	2017	5	5	9	5x588538	5x588538	588538x2017	80277.77778	3945	4653	3888	4632	3954	4605	3990	4605	3681	4758	3729	4743	3699	4722	3526	4483	3556	4504	3556	4474	3886	4048	3889	4078	3916	4069	3227	5231	2803	4863	2843	4751	2611	4463	2259	3391	3619	4183	3299	3343	3843	2036
